V1,V2,Dennis Cliff Smith,
"Arley Thomas, III","Lewisville, TX",Texas,
Kimberley Martin,"Lamar, Arkansas",Arkansas,
JT Holmes,"Tempe, AZ",Arizona,
Kendra Disalvo,"Dallas, TX",Texas,
B.dot,"Detroit, MI",Michigan,
F(1'3 'D-'1+J,"Irving, TX",Texas,
iwnl,Texas,Texas,
Sarosh Adi,"Dallas, TX",Texas,
Shuping J.,"Frisco, TX",Texas,
James Herry,"Dallas, TX",Texas,
Sam,"Haltom City, TX",Texas,
Tia Ridley,"Baton Rouge, LA",Louisiana,
#FrescoYouWild,"Dallas, TX",Texas,
Grizzly,"Chicago, IL",Illinois,
Jay Ca$h,"Kendall, FL",Florida,
Cobie Fletcher-Vance,"Fayetteville, NC ",North Carolina,
"Zachary Â©¨¹¦Â©â¨¹¦¬""Fayetteville"," NC""",North Carolina,
James Justin Jermain,"Oakland, CA",California,
Cedric Rollins,  Minnesota ,Minnesota,
Kyle Austin,"Charlotte, NC",North Carolina,
Jock Themodel,"Dallas, TX",Texas,
Sarah Jokar Deris,"Raleigh, NC",North Carolina,
Adymn Enoka Ikaika Anakin Aage Sani,Texas,Texas,
Jose Salazar,"Dallas, TX",Texas,
Zakaryah D. Goodman,"Fayetteville, NC",North Carolina,
Harmonie,"Dallas, TX",Texas,
Erick Varela,"Dallas, TX",Texas,
Chris,"Neu Ulm, DE",Delaware,
Blake Tyler,"Waco, TX",Texas,
Harley Forry,"Garner, IA - Cedar Falls, IA",Iowa,
Nick McDougal,"New Orleans, LA",Louisiana,
"HunchoKidd00Â©¨¹¦Â©â¨¹¦¬""Grand Rapids"," MI""",Michigan,
Betson Mathew,"McKinney, TX",Texas,
Rico,TX,Texas,
Zach Thomas,"Murray, KY",Kentucky,
maryann lopez,"Havana, IL",Illinois,
Cane2tymz,"Desoto, TX",Texas,
TG Self made,"North Las Vegas, NV",Nevada,
Adam,"San Diego, CA",California,
Desz,"Dallas, TX",Texas,
Edib,"Chicago, IL",Illinois,
Dmack,"Houston, TX",Texas,
Andrea Blackwood,"Swepsonville, NC",North Carolina,
Na,"Princess Anne, MD",Maryland,
Jeff Richter,"McKinney, TX",Texas,
anonymous,"Irving, TX",Texas,
RubyRose,"Fort Worth, TX",Texas,
Daniel Guzman,"Manhattan, NY",New York,
Ronald Rojas,"Hialeah, FL",Florida,
ProSeal USA,"Naples, FL",Florida,
High_Michl,"Fresno, CA",California,
a new chapter everyday !,"Atlanta, GA",Georgia,
Sierra Bronkhorst,"Los Angeles, CA",California,
Elijah,"Long Beach, CA",California,
Brother Jonathan,"Dallas, TX",Texas,
cinimon roll lester,"Raleigh, NC",North Carolina,
Percy Goldsmith,"Hattiesburg/Centreville, MS",Mississippi,
Ruth Perez,"Houston, TX",Texas,
Alex Welcing,"New York, NY",New York,
King Richard,"Boston, MA",Massachusetts,
Brown Bag Gal,"Denver, CO",Colorado,
David Jermane Bagley,"Wichita Falls, TX",Texas,
Diamine,"Burleson, TX",Texas,
"KashKid200¢Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Waco"," TX """,Texas,
Dot,"Cleveland, TX",Texas,
deV_Lanez,"Clovis, CA",California,
OnlyOneBiggie,"Dallas, TX",Texas,
andre appiah,"Pocatello, ID",Idaho,
Ruben Cruz,"Irving, TX",Texas,
Vedang Uniyal,"Irving, TX",Texas,
J.R.,"Denton, TX",Texas,
Ken Foody,Salt Lake City,Salt Lake City,
jimmy rivers,"Addison, TX",Texas,
OHH_NO_ITS_LIL_O,"Los Angeles, CA",California,
Kaleb,"Las Vegas, NV",Nevada,
Josh Rios,"Vacaville, CA",California,
Christian Webster,"Blacksburg, VA",Virginia,
Nick Rutherford,"San Diego, CA",California,
Chris,"Desoto, TX",Texas,
Lizzy,"Euless, TX",Texas,
Trinathguguloth,"Cary, NC",North Carolina,
"I Am Your King Â©¨¹¦Â©â¨¹¦¬""Minnetonka Beach"," MN""",Minnesota,
Brooke O,"Dallas, TX",Texas,
Michael,"Los Angeles, CA",California,
miranda,"Portales, NM",New mexico,
Michael Soto Rojas,"Dallas, TX",Texas,
Jacqueline Baumann,"San Francisco, CA",California,
" ! Â©¨¹¦Â©â¨¹¦¢"",Brooklyn"," NY""",New York,
Taylor Womack,"Lovelady, TX",Texas,
emilio trujillo,"Richardson, TX",Texas,
Keone Snapp,"St Joseph, MO",Missouri,
The Romantic One,"Winston-Salem, NC",North Carolina,
Jonathan A. Peters,"Falmouth, MA",Massachusetts,
Chad Lake,"Dallas, TX",Texas,
Aggelos K.,"Los Angeles, CA",California,
April Dawn Stark,"Dallas, TX",Texas,
Dre Watson,"York, Alabama",Alabama,
Melanie Reed-Hall,"San Antonio, TX",Texas,
Kevin,"Addison, TX",Texas,
Millz_Malone,"New York, NY",New York,
David,"Denton, TX",Texas,
brettfatbootyburton,"English, Indiana",Indiana,
Carson_Ulrich,"Mehlville, MO",Missouri,
"DestinyÂ©¨¹¦Â©â¨¹¦¬""Dallas"," TX""",Texas,
zanespang,"Minneapolis, MN",Minnesota,
dae,"Charlotte, NC",North Carolina,
Nick Mathews,"Brazil - Dallas, TX",Texas,
Kirk Brown,NC,North Carolina,
¨¹¾ßN,"Portland, OR",Oregon,
im_____gone,"Staunton, VA",Virginia,
JoeArea609,"Broken Arrow, OK",Oklahoma,
BeatsByBezz,"Seattle, WA",Washington,
Ethan Unger,"Camas, WA | Los Angeles, CA ",California,
David Toler,"Rocky Mount, NC",North Carolina,
('Jaliyah (',"Dallas, TX",Texas,
TTipp,"Chicago, IL",Illinois,
Louis Dominquez,"San Antonio, TX",Texas,
P+¢Â©â¨¹¦Â©â¨¹¦ËINGBOOGIEÂ©¨¹¦Â©â¨¹¦Ð+,"Chicago, IL",Illinois,
Oskar Segura,"Dallas, TX",Texas,
EddyHonbeats,"Dallas, TX",Texas,
cody i,"Los Angeles, CA",California,
Kyle McGyle,"Three Rivers, TX",Texas,
SteboMusa,"Atlanta, GA",Georgia,
Milo Booth,"Kotzebue, AK",Alaska,
Chris Matson,"Morgantown, WV",West Virginia,
Dennis James,"Dallas, TX",Texas,
Cole Taylor,"Charlotte, NC",North Carolina,
Daniel Martinez,"Coral Springs, FL",Florida,
SC = itsguerra3,"Red Oak, TX",Texas,
Prime LaMarcus (11-6),"Albany, CA",California,
Chris Williams,"Atlanta, GA",Georgia,
Sarah Jager,"Dallas, TX",Texas,
"Mark, House of Stark","Atlanta, GA",Georgia,
Javier,"Dallas, TX",Texas,
Chris Koppe,"Seattle, WA",Washington,
Mr. Cryptokeeper,"Irving, TX",Texas,
Cooper,Texas,Texas,
Mark DeLeon,TX,Texas,
Dom Basile,"Buffalo, NY",New York,
Lonnie mazon jr,"Tampa, FL",Florida,
JC3,"Crestview, FL",Florida,
Abe,"Grand Rapids, MI",Michigan,
Ryan Graves,"Spokane, WA",Washington,
"(ah-c-L) Â©¨¹¦Â©â¨¹¦¬""Winston-Salem"," NC""",North Carolina,
Ishmael Sistrunk,"St. Louis, MO",Missouri,
Rudy Cantu,"Lubbock, TX",Texas,
Dae Hines,"Texarkana, TX",Texas,
Jayden Brown,"Dallas, TX",Texas,
Aaron Matthew Little,"Heber Springs, AR",Arkansas,
Tyler &,"Ayden, NC",North Carolina,
Nigel.Hageman,"Casper, WY",Wyoming,
mark coffman,"Arlington, Texas",Texas,
Dave S.,"Los Angeles, CA",California,
John Smith,"Oceanside, CA",California,
Oscar Trujillo,"Dallas, TX",Texas,
Joel,Iowa,Iowa,
Reggie Williams,"Cedar Hill, Texas",Texas,
Laudy Offutt,"Louisville, KY",Kentucky,
Antonio Nelson,"Shreveport, LA",Louisiana,
Doris Burke's BF,"San Jose, CA",California,
Kvng Apollo,"Chicago, IL",Illinois,
cbreezy,"Corsicana, TX",Texas,
Breaunna Burks,"Memphis, TN",Tennessee,
Brandon Stewart,"Dallas, TX",Texas,
Austin Parker,"Gainesville, GA",Georgia,
Andrea Matta,"Dallas, TX",Texas,
Kim Savarin,"Miami Beach, FL",Florida,
Ryan Dervin,"Kernersville, NC",North Carolina,
Donald Foster III,"St Louis, MO",Missouri,
FreshÂ©¨¹¦Â©â¨¹¦Ðrince,"Kansas City, MO",Missouri,
Standonavia,LA,Louisiana,
Ivonne Montes,"Laredo, TX",Texas,
jeremiah,"Spring, TX",Texas,
Garrett,"Charlotte, NC",North Carolina,
"May Â©¨¹¦Â©â¨¹¦¬""Chapel Hill"," NC""",North Carolina,
"alyssa g Â©¨¹¦Â©â¨¹¦¬""Dallas"," TX""",Texas,
Greg. Jackson,"Irving, TX",Texas,
I Just Wanna Rap,"1st 48, Tennessee",Tennessee,
"Lexx Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Fayetteville"," NC""",North Carolina,
Beth,"Winston-Salem, NC",North Carolina,
NayefAlamer,"Cleveland, OH",Ohio,
Swagg_TheGod,"Shreveport, LA",Louisiana,
FuLL-E-Loaded_Clipse,"Brooklyn, NY",New York,
James Cotter,"Charlotte, NC",North Carolina,
Choc_8577,"Southside Triple D, Texas",Texas,
Crysta Edwards,"Fort Worth, TX",Texas,
Karen Mark,"Cary, NC",North Carolina,
Texas Legends Auto,"Dallas, TX",Texas,
Jake Grasso,"Omaha, NE",Nebraska,
ruby,"Richardson, TX",Texas,
DJ Harris,"Monroe, LA",Louisiana,
Maj_nicholas23,"New Rochelle, NY",New York,
Malik Kaba-Diakite,"Ann Arbor, MI",Michigan,
Derek Weiland,"Atlanta, GA",Georgia,
Garin Carthel,"Floydada, Texas",Texas,
Smoke & Company,"Raleigh, NC",North Carolina,
Sam Bozza,"Conway, PA",Pennsylvania,
Jacob Hernandez,"Plano, Texas",Texas,
Justin McNutt,"Hurst, Texas",Texas,
HadeerOM,"Raleigh, NC",North Carolina,
bby1027,"Fort Worth, TX",Texas,
Colin.H,"Charlotte, NC",North Carolina,
charles franklin,"Dallas, TX",Texas,
David Bader,"Nashville, TN",Tennessee,
Toby Gillooly,"St Paul, MN",Minnesota,
michael anderson,"Mesquite, TX",Texas,
Robert Eames | RHS,"Metairie, LA",Louisiana,
HANONI SHOP,"Dallas, TX",Texas,
Reagan,"Centreville, VA",Virginia,
TheHappyHouse,"Houston, TX",Texas,
Justin Silcox,"Bedford, TX",Texas,
Jasmine Strickland,"Raleigh, NC",North Carolina,
(/J1 'D2HJ/,"Raleigh, NC",North Carolina,
Zach at Issuer Direct,"Morrisville, NC",North Carolina,
Derrick finner,"Kansas City, MO",Missouri,
StoneBridge Media Group,"Oklahoma City, OK",Oklahoma,
elerchu,"China Grove, NC",North Carolina,
Albeezy,"Shreveport, LA",Louisiana,
"PaperChaseÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Tempe"," AZ""",Arizona,
PlayBoiiRay,"Dallas, TX",Texas,
Bariisaa Sultan,"Portland, OR",Oregon,
Anthony Cunningham,"Los Angeles, CA",California,
Anson Z,"University Park, TX",Texas,
Steven A. Redder,"Hamilton, MI",Michigan,
Simbadadon,"Raleigh, NC",North Carolina,
Marla Wilkerson,"Dallas, TX",Texas,
Jason Pecjak,"Cleveland, OH",Ohio,
Brad Phillips,"High Point, NC",North Carolina,
Aye_sierranr,"Houma, LA",Louisiana,
Backyard Sports LLC,"Bellevue, NE",Nebraska,
Chicago History,"312 S Halsted St, Chicago, IL",Illinois,
FandPacersFan (10-8),"New Castle, IN",Indiana,
Connor Henson,"Garland, TX",Texas,
camerondzk,"Austin, TX",Texas,
Shamal Baby,"San Diego, CA",California,
Adam Daley,"Minot, ND",North Dakota,
drippy drippy,"Winston-Salem, NC",North Carolina,
Peyton Lee,"Chandler, AZ",Arizona,
Lance George,Texas,Texas,
Max Weltman,"Mayfield, OH",Ohio,
YoungNerlens,"Humboldt, TN Memphis, TN ",Tennessee,
oh.lisaa,"Abbeville, LA",Louisiana,
Shane Abel,"Franklin, IN",Indiana,
Dirk Meng,"Lincoln, IL",Illinois,
Tom,Texas,Texas,
"Is Dennis Playing? Â©¨¹¦Â©â¨¹¦¬""Dallas"," TX""",Texas,
Ashlee Love,"Dallas, TX",Texas,
Richard Bardon IV,"Dallas, TX",Texas,
Evan Huddleston,"Dallas, TX",Texas,
pedro chavez,"Dallas, TX",Texas,
James Anderson,"Arlington, TX",Texas,
Kingboyz,"Dallas, TX",Texas,
Reed,"Austin, TX",Texas,
Coach Megson,"Fayetteville, NC",North Carolina,
Preston Bryan,"Frisco, Texas",Texas,
kevin caldwell,"Dallas, Texas ",Texas,
Jorge C,"Houston, TX",Texas,
Vladimir Roznos,"Jacksonville Beach, FL",Florida,
Zay Dibiasse,"Dallas, TX",Texas,
Maryn W,"Emeryville, CA",California,
"Â©¨¹¦Â©â¨¹rollietyl10Â©¨¹¦Â©â¨¹¦¬""Turlock"," CA""",California,
Austin,"Dallas, TX",Texas,
"Fresh Prince ¨¹¦¬""Orlando"," FL""",Florida,
Theo Morrison,"Neosho, MO",Missouri,
CoinHealth,"Dallas, TX",Texas,
qalbi saafi,"Dallas, TX",Texas,
King Black Thought,"Bowling Green, KY",Kentucky,
Ahmed,"Staten Island, NY",New York,
Vanessssa,"Triple D, TX",Texas,
Jose D. Sanchez,"Austin/Houston, Texas ",Texas,
"EARLÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Lauderdale Lakes"," FL""",Florida,
MJ_Blakeslee,"Houston, TX",Texas,
Kyle Keeling,"Arlington, TX",Texas,
lil francos,"Fayetteville, NC",North Carolina,
Demarcus Wallace,"Dallas, TX",Texas,
Gahlen Fuller,"Fort Worth,TX",Texas,
Thomas Barbusca,"Los Angeles, CA",California,
"The King Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Kinston"," NC""",North Carolina,
nicholas nash,"Baton Rouge, LA",Louisiana,
David Reyna,"Los Angeles, CA/Dallas, TX",Texas,
Caleb Elizondo,"Dallas, TX",Texas,
Ral Jimnez,"Irving, Texas",Texas,
Lawrence Namou,"West Bloomfield , Michigan ",Michigan,
Lorri LaVielle,"Raleigh, NC",North Carolina,
Snooze,"Fort Worth, TX",Texas,
Efren Hernandez,"Dallas, TX",Texas,
"Seth Â©¨¹¦Â©â¨¹¦¬""Alliance"," OH""",Ohio,
Abner Matus JR,"Boston,MA",Massachusetts,
Manuel Bumanlag,"Chandler, AZ",Arizona,
BMG,"College Station, TX",Texas,
Raphael De La Ghetto,"South Beach, FL",Florida,
Ryan Gunter,"Baton Rouge, LA",Louisiana,
Kenneth Lukasik,"Cortez, CO",Colorado,
Victor Olvera,"Dallas, TX",Texas,
Anthony Colucci,"Gaithersburg, MD",Maryland,
"Â©¨¹¦Â©â¨¹¦ËelzÂ©¨¹¦Â©â¨¹¦¬""Â©¨¹¦Â©â¨¹ Phoenix"," AZ""",Arizona,
"DJ PB 
'Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¢,Irving"," TX""",Texas,
salty but right,"North Las Vegas, NV",Nevada,
Bryan Wimmer,"Muskogee, OK",Oklahoma,
Crystal Brinkley,"Highwood, Illinois",Illinois,
PK,California,California,
ACB,"Fort Worth, TX",Texas,
Devante,"Sanford, NC",North Carolina,
Gettin' Sauced,"Raleigh, NC",North Carolina,
Salvador Moran,"Raleigh, NC",North Carolina,
Sabrina Barlow,"Tucson, AZ",Arizona,
Jay Piva,Boston,Boston,
Annah,"Houston, TX",Texas,
Tiawan Jordan,"Wylie, TX",Texas,
Will Bastian,"Raleigh, NC",North Carolina,
Russell Fiori,"Chicago, IL",Illinois,
CCG_LARRY,"Mesquite, TX",Texas,
D_harris401,"Providence, RI",Rhode island,
Shaun (',"Rialto, CA",California,
Kenny Stevens,Atlanta,Atlanta,
Ruben Luebano,"Waxahachie, TX",Texas,
Adrian Aguilar Jr,"Los Angeles, CA",California,
Alexis,"Rowlett, TX",Texas,
Jailind Bunton,"Phoenix, AZ",Arizona,
imindia_,"Dallas, TX",Texas,
Adamherreros,"Plano, TX",Texas,
Timothy Valentine,Louisiana ,Louisiana,
MARJANI HEATH,"Houston, TX",Texas,
Brandon Castillo,"Dallas, TX",Texas,
Sofie,"Dallas, TX",Texas,
Dierk Ruth,"Waco, Texas",Texas,
Redneck Golfer,"Raleigh, NC",North Carolina,
ColinMuellerNBA,"Brookline, MA",Massachusetts,
"$ugar BB Â©¨¹¦Â©â¨¹¦¬""Dallas"," TX""",Texas,
Haleynicole,"Granbury, TX",Texas,
Gary Hawkins,"Dallas, TX",Texas,
Owen *m,"Los Angeles, CA",California,
"TyTheGreat Â©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Long Beach","California""",California,
Josue Antonio Caba,"Dallas, TX",Texas,
Nikkobanz,"Fort Worth, TX",Texas,
Samantha Newman,"Richardson, TX",Texas,
James Shafer,"Charleston, WV",West Virginia,
2bl3ss3d,"Fayetteville, NC",North Carolina,
Brandi Benavides,"Dallas, TX",Texas,
mimi Â©¨¹¦Â©â¨¹ pollok,"Richardson, TX",Texas,
\WS *QP[,"Richardson, TX",Texas,
". 0=B5<8@>20""","Richardson, TX",Texas,
"luisaguilarÂ©¨¹¦Â©â¨¹¦¬""Greenville"," TX""",Texas,
"olonzo!Â©¨¹¦Â©â¨¹¦¢"",Dallas"," TX""",Texas,
Holy Life,"Los Angeles, CA",California,
jesse nix,"Frisco, TX",Texas,
Ninety6 Baby,"Hollywood, FL",Florida,
"JDotÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¬""Edenton"," NC""",North Carolina,
Ryan E. Ross F,"Melissa, TX",Texas,
Clean Cuts of St Aug,"St Augustine, FL",Florida,
Amare Smith,"Huntington, WV",West Virginia,
Josh cole,"Neptune, NJ",New jersey,
Jolly Green Giant,"South Irving, Texas",Texas,
uphomes,"Charlotte, NC",North Carolina,
Young Fuego,"Farmers Branch, TX",Texas,
John Cherry,"West Des Moines, IA",Iowa,
Chelesta Becker,"Mesquite, TX",Texas,
David Melahn,"Dallas, TX",Texas,
Jonh Macario,"DeKalb, IL",Illinois,
Sept19th_born_king,"Dallas, TX",Texas,
Tate Fulbright,"Connelly Springs, NC",North Carolina,
Robert Margina,"Detroit, MI",Michigan,
Joy Ebri,"Garland, TX",Texas,
Edwin,"Dallas, TX",Texas,
thomas shaw,"Dallas, TX",Texas,
Laura Szemereta,"Apex, NC",North Carolina,
alyana foster,"Dallas, TX",Texas,
Winn,"Richardson, TX",Texas,
Cameron Comstock,"Rockfish, NC",North Carolina,
Free Josh,"Cleveland, OH",Ohio,
Jake Coleman,"Wake Forest, NC",North Carolina,
Joshua,"Mesquite, TX",Texas,
Mitchell Lee Pufky,"Rolesville, NC",North Carolina,
Mae King,"Dallas, TX",Texas,
Taylor Johnson,"Dallas, TX",Texas,
Casement Windows,"Cliffside Park, NJ",New jersey,
Logan Baltz,"Farmersville, TX",Texas,
Abigail Mchenry,"Charlotte, NC",North Carolina,
JoeBearhart,"Denton, TX",Texas,
Nick,"Raleigh, NC",North Carolina,
Aleksalb,"Denton, TX",Texas,
Anna M Estrella,"Dallas, TX",Texas,
Zach Gutierrez,"San Antonio, TX",Texas,
Da Quan Adams,"High Point, NC",North Carolina,
Lileeduckingoff,"Los Angeles, CA",California,
Chandler Stonecipher,"Dallas, TX",Texas,
Alli Mendoza,"Allen, TX",Texas,
Blaze Hendrix,"Hanford, CA",California,
SSJTrey,"Bowling Green, KY",Kentucky,
BrokenLocus,"Dallas, TX",Texas,
Jimmy Nuez,"Dallas, TX",Texas,
Eddie,TX,Texas,
Glenn Dixon,"Garland, TX",Texas,
Lilly,"Fayetteville, AR",Arkansas,
Michael Dupree Jr,"Dallas, TX",Texas,
Servando Lozano,"Corpus Christi, TX",Texas,
Ricardo Crews II,"Lynchburg, VA",Virginia,
Will Perry,"Winston-Salem, NC",North Carolina,
Oswaldo Gamez,"Garland, TX",Texas,
Dandee Hill,"Dillon, SC",South carolina,
Cmacon12,"Dallas, TX",Texas,
Dave Evans,"Dallas, TX",Texas,
Rochelle Ferguson,"Fayetteville, NC",North Carolina,
Anthony.,"Ashtabula, OH",Ohio,
Adam Rhoades,"Long Beach, CA",California,
Takeoff L,"Western Ave. , California ",California,
Chao Zhang,"Santa Clara, CA",California,
spiegel Kelle,"Garner, NC",North Carolina,
Candice Jackson,"Hope Mills, NC",North Carolina,
Mads,"Los Angeles, CA",California,
Tori Russell,"Mocksville, NC",North Carolina,
Samantha Rivera,"Farmington, NM",New mexico,
John E Murray,"Dallas, TX",Texas,
Matt Torres (JAP),"Midland, TX",Texas,
Ashlynn Earp,"Goldsboro, NC",North Carolina,
Roman Empire,"Fort Worth, TX",Texas,
Travis Adams,"Forney, TX",Texas,
Kaleb,"Dallas, TX",Texas,
Jack Maxwell,NC,North Carolina,
Brennan Pearson,"Oak Ridge, TN",Tennessee,
Jordan Watkins,"Arlington, TX",Texas,
Demetrius Jones,"Dallas, TX",Texas,
Mannee McMiller,"St.Joseph, MO",Missouri,
MaverickHoo,"Garden City, SC",South carolina,
Stella-Grace,"Irving, TX",Texas,
Margaret,"Dallas, TX",Texas,
Maddie Johnson,"Tulsa, OK",Oklahoma,
SecuraShield,"Irving, TX",Texas,
10,"Greenwood Village, CO",Colorado,
Rippling brook Sosa,"Phoenix, AZ",Arizona,
Nicki Mannion,"Los Angeles, CA",California,
#TRAYWAY (Beaumont's 2Pac),"D-Blocc, Texas",Texas,
Adam Ray,"Texarkana, TX",Texas,
Josh Putman,"Lubbock, TX",Texas,
Boudazifvus,"Toledo,OH",Ohio,
Amelia Love,"Garland, TX",Texas,
Anthony Wilson,"Arlington, TX",Texas,
Destinyy,"Dallas, TX",Texas,
Christian Lindberg,"Allen, TX - Lubbock, TX",Texas,
R. Drew Meadows,"Dallas, TX",Texas,
H. Schneider,"Kansas City, MO",Missouri,
Chris Grindstaff,"Ft. Worth, Texas",Texas,
Juan Lopez,"Fort Worth, TX",Texas,
Scott  Lynch,"Charleston, SC",South carolina,
Saul,"Raleigh, NC",North Carolina,
Chelsey Sutton,"Duncan, OK",Oklahoma,
"MarkÂ©¨¹¦Â©â¨¹¦Â©â¨¹¦Â©â¨¹¦¡""","Chicago, IL",Illinois,
Ed,"Denver, CO",Colorado,
Bailey Johnson,"Dallas, TX",Texas,
Trey Jones,Kansas,Kansas,
Jack,"Cooper - Greenville, TX",Texas,
( a \ a),"Dallas, TX",Texas,
Wesley Hart,"Dallas, TX",Texas,
Dallas Mavs Fan Page,"Dallas, TX",Texas,
Evelyn,"Fort Worth, TX",Texas,
BREAHNA REEDY,"Kaufman, TX",Texas,
Baby Girl,"Houston, TX",Texas,
Danny Gillham,Texas,Texas,
Lorenz Anthony,"Dallas, TX",Texas,
Dawn Kourtney,"Dallas, TX",Texas,
1 817-806-6630,"Fort Worth, TX",Texas,
John,"Dallas, TX",Texas,
Mike Boelkens,"Arlington, TX",Texas,
Michael Ferguson,"Centreville, VA",Virginia,
Kevin Lam,Louisiana,Louisiana,
Kendrick Waller,"Cleveland/Houston, TX",Texas,
Ichi.93,"Dallas, TX",Texas,
Leah Box,"Arlington, TX/Malibu, CA",California,
eric frazier,"Plano, TX",Texas,
Tanner Williams,"Aberdeen, WA",Washington,
Melissa B. Marie,"Harrisburg, PA",Pennsylvania,
McLain,"Frisco, TX",Texas,
