V1,V2,Dennis Cliff Smith,
Connor Duffy,"Clinton, CT",Connecticut,
Joe Turner,"Dallas, TX",Texas,
Grandpa,"Atlanta, GA",Georgia,
Jsun Zimmerman-Bey,"Greensboro, NC",North†Carolina,
Danielle,"Fayetteville, NC",North†Carolina,
Gerald Randle III,"Houston, TX",Texas,
MARJANI HEATH,"HOUSTON,TX",Texas,
KingSelf,"Charlotte, NC",North†Carolina,
TheHoustonRobinson,"Dallas, TX",Texas,
BlvckVibe,"Greensboro, NC ",North†Carolina,
Chill Palace Sports,"Minneapolis, MN",Minnesota,
Houston Robinson,"Lakewood, Dallas",Pennsylvania,
Chrimps,"Lowell, MA",Massachusetts,
Moses Morgan,"Las Vegas, NV",Nevada,
Oh_DEER,"Holly Springs, NC",North†Carolina,
Jason March,"Chicago, IL",Illinois,
Jimmy,"Midlothian, TX",Texas,
essence rennee johns,"Greensboro, NC",North†Carolina,
Loso,"Providence, RI",Rhode island,
Bobby Tarantino 00Ê¶,"Philadelphia, PA",Pennsylvania,
Trent,"Tampa, FL",Florida,
Sir Deon Fuller,Pompano Beach,Florida,
Blacx Don,"Houston, TX",Texas,
"Ta,mya Williams","Los Angeles, CA",California,
Middletown Goats,"Middletown, NJ",New jersey,
Linda Rivera,"Irving, TX",Texas,
Travis Horvath,"Virginia Beach, VA",Virginia,
bandupibn,"Charlotte, NC",North†Carolina,
Betty Jones,"Cedar Rapids, IA",Iowa,
Harrington D. Harry,"Kent, WA",Washington,
rnsto Qrr lll,"Kenosha, WI",Wisconsin,
Skyler Gilbride,"Bend, OR",Oregon,
Ethan,"St Paul, MN",Minnesota,
Anthony Ortega,"Miami, FL",Florida,
Darren Claxton,"Tipp City, OH",Ohio,
G6oat T.G.O.A.,"Houston, TX",Texas,
Sensei J,"Everett, WA",Washington,
Zach Moreland,"Montrose, CO",Colorado,
Sinem ^ener,Van,West Virginia,
Kimberley Jeffrey,"Fayetteville, NC",North†Carolina,
A,"Liverpool, NY",New†York,
Karlo Palomo,Dallas,Pennsylvania,
ryan guerin,"Downers Grove, IL",Illinois,
"K G¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Sherman"," TX""",Texas,
Justin Russell,Dallas,Pennsylvania,
Justin Johnson,"Carterville, IL",Illinois,
Trajan,"Porter, TX",Texas,
Walter,"East Harlem, Manhattan",Montana,
Jesse Stauffer,"Dallas, TX ",Texas,
A-A-Ron,"Fort Worth, TX",Texas,
Jonathan Sebbag,"Plano, TX",Texas,
andrew,"Richland Hills, TX",Texas,
Andrew Smith,"Ottawa, Ontario",New York,
Nick,"Red Oak, TX",Texas,
Jacob,"Raleigh, NC",North†Carolina,
Olen Thrasher,"Dallas, TX",Texas,
Reke< ,"Macon, GA",Georgia,
Hillary Banks,NC,North†Carolina,
chandelor stamp,"High Point, NC",North†Carolina,
Diana Arce,"Winston-Salem, NC",North†Carolina,
Greg ¬©®π¶¬©‚®π¶¨Toronto,Ohio,,
Brett Budke,Kansas City,Missouri,
Andrew nayrcom,"Raleigh, NC",North†Carolina,
Kevin Burger,"Provo, UT",Texas,
Jaden Cooper,"Goldsboro, NC",North†Carolina,
Connor Sedlack,"St Paul, MN",Minnesota,
ALEX,"Plano, TX",Texas,
Hemp My Life,"Asheville, NC",North†Carolina,
Devin Spurgon,"Muncie, IN",Indiana,
Dre'Shun' James,"Dallas, TX",Texas,
Jeam Linares,Paradise,Pennsylvania,
Thomas Brazier,San Diego,Texas,
Andr Jones,"Sburg/Houston,TX",Texas,
Hoodie Melo,"Dallas, TX",Texas,
"1K ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Senatobia"," MS """,Mississippi,
Mark Anderson,"Lewisville, TX",Texas,
Paula Lewis,"Dallas, TX",Texas,
Zac Jaschob,"Fond du Lac, WI",Wisconsin,
Curtis Edwards,"Shreveport, LA",California,
Ben Cogsdale,"Raleigh, NC",North†Carolina,
Deontrey Fuller,"Weed, CA",California,
Gerardo Zepeda,"New Rochelle, NY",New†York,
Oliver Frogson,"Doncaster, England",Arkansas,
"Shawn&¢¬©‚®π¶¬©‚®π¶¨""Newburgh"," IN""",Indiana,
Mark Giles,Delaware,New Jersey,
Tyler Thomas,LA,California,
Kurt McKinnon,"Long Island, NY",New†York,
Jeremy,"Fort Worth, TX",Texas,
Aaron Harrison,"Hope Mills, NC",North†Carolina,
Freddie Sanders,"Yuokon, OK",Oklahoma,
Joseph A Campbell,Greensboro,Vermont,
Ballislife187187,"Beloit, WI",Wisconsin,
Sherise,"Holly Springs, NC",North†Carolina,
Saint Augustine's Careers,"Raleigh, NC",North†Carolina,
GaryBrannonMcDonald,"Virginia Beach, VA",Virginia,
David Spence,"Manchester, England",Arkansas,
SME Basketball,"Hattiesburg, MS",Mississippi,
Hood Governor,"Atlanta, GA",Georgia,
Ishmael Johnson,"Lynn, MA",Massachusetts,
III,"Calgary, Alberta",Virginia,
Christopher Tisdell,"Worcester, MA",Massachusetts,
Nathan Saliba,"Melbourne, Victoria",Virginia,
David,"Los Angeles, CA",California,
Panthers 7-3,"Denver, CO",Colorado,
LosoCD,Kansas City,Missouri,
Nas,"Cleveland, OH",Ohio,
Uncle,"College Station, TX",Texas,
savate,"Dalla$, TX",Texas,
Honey bun savage,"Chattanooga, TN",Tennessee,
isiah house parody account,"Saginaw, MI",Michigan,
Aubreyv ¬©®π¶¬©‚®π¶¨NY,New†York,,
Adrian,"London, England",Arkansas,
Bradley,"Athens, TX",Texas,
Caredbl84,Montreal,Wisconsin,
no tauke.,"Shinnecock, NY",New†York,
Austen Chan,"West Covina, CA",California,
Tristan,"Santa Ana, CA",California,
Evan Anderson,"Dallas, TX",Texas,
cApcHiNo,"DALLAS, TX ",Texas,
Rashawn Pleasant,"Greensboro, NC",North†Carolina,
Michael Emerson,"McKinney, TX",Texas,
DOHCness,"Houston, TX",Texas,
Bryant Wheeler,"Charlotte, NC",North†Carolina,
KEVDABOSS,New York,New York,
Charles Brockman,Earth,Texas,
Jerry James,"Dallas, TX",Texas,
Jose Carrisalez,"Arlington, TX",Texas,
Ken Kansas,"Dallas, TX",Texas,
monica lewinsky,"Bossier City, LA",California,
Buck Nasty,"Pontotoc, MS",Mississippi,
Tanner Hebert,"Prairieville, LA",California,
Tytus Cleveland,"Grand Prairie, TX",Texas,
Mike Vidmar,"La Crosse, WI",Wisconsin,
Moak Griffin,"Columbus, MS",Mississippi,
Jimmy Tsao,Los Angeles,California,
St. Patrick,"Huntsville, AL",Alabama,
Chad Milliken,"Orlando, FL",Florida,
"Richie Rich ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶°""","Irondequoit, NY",New†York,
anna,Chicago,Illinois,
"marcus herrera ¬©®π¶¬©‚®π¶¨""Bay"," California """,Pennsylvania,
jeffcoat,"Bronx, NY",New†York,
pj evans,"New York, NY",New†York,
Eppler Magic,"Irvine, CA",California,
Thomas Hennen,"Dallas, TX",Texas,
Brett,Dallas,Pennsylvania,
Samie Friedman,California,Pennsylvania,
Andy Thuan,"Charlotte, NC",North†Carolina,
Kristie Foster,"Dallas, TX",Texas,
Larry gEE,"Dallas, TX",Texas,
Cam Cam,"Carlisle, PA",Pennsylvania,
Tom Best,"Raleigh, NC",North†Carolina,
Hilary Marvin,"San Francisco, CA",California,
"CJ Money¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Middletown"," OH""",Ohio,
joe_asaly,"London, England",Arkansas,
Jeanne Jimenez,"Benton, AR",Arkansas,
Deverence Jones,"East Prairie, MO",Missouri,
Jackson Sealey,"Aiea, HI",Hawaii,
Ryan Carter,College Station,Arkansas,
Darryl Scott,"Florissant, MO",Missouri,
Rick Lefebvre,"Baton Rouge, LA",California,
Brittany Wright,"Charleston, SC",South carolina,
Franklyn Miller,"Tucson, AZ",Arizona,
Caleb Carter,"Arlington, TX",Texas,
Cole Helms,"Denton, TX",Texas,
"HeAint_¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""do or die"," TX""",Texas,
Eric,"Atlanta, GA",Georgia,
"hollywoodJayy¬©®π¶¬©‚®π¶¨""Los Angeles"," CA""",California,
Rockwall Roofing,"Rockwall, TX",Texas,
Christian Menifee,"Charlotte, NC",North†Carolina,
Jody Burke,TN ,Tennessee,
TY,"Sylmar, Los Angeles",California,
Alex,NC,North†Carolina,
.,"Reno, NV",Nevada,
"Jev ¬©®π¶¬©‚®π¶¨""New Bedford"," MA""",Massachusetts,
Êµ®π,"Dallas, TX",Texas,
"Bobbbyyy ¬©®π¶¬©‚®π¶¨""Whittier"," CA""",California,
LaBrent Chappell,"Sacramento, CA",California,
Camden Beard,"Arlington, TX",Texas,
Jayveon Hope,"Kansas City, MO",Missouri,
STREETRUNNER,"Atlanta, GA",Georgia,
Kaizo,"Clinton, NC",North†Carolina,
JordanHoefer,"Valley Center, KS",Kansas,
Adam,"Portland, OR",Oregon,
Davidd,"Houston, TX",Texas,
sad boy,"Dallas, TX",Texas,
Tucker Howard,"Cary, NC",North†Carolina,
Paul PBJ Boyette Jr.,"Humble, TX",Texas,
 $hadd_G ,"Milwaukee, WI",Wisconsin,
Colby Behne,OKC,Oklahoma,
lIl BRIICK,"Denver, CO",Colorado,
Ian,Indiana,Pennsylvania,
Colm O'Hagan,Galway,New York,
"jenna ¬©®π¶¬©‚®π¶¨""Woodland"," CA""",California,
rob.,"Scarborough, England",Arkansas,
Slowtonio Brown,"Phoenix, AZ",Arizona,
Zkarr,"Stafford,VA",Virginia,
Ty Rodgers,"Saginaw, Michigan ",North Dakota,
"Ray !""","Melissa, TX",Texas,
Steven Starks,"East Harlem,NY ' Tampa,FL",Florida,
KJC,"Dallas, TX",Texas,
RJay Cammack,"Monroe, LA | Dallas, TX",Texas,
Denis O'Donovan,"Cork, Ireland",West Virginia,
Caleb Barrington,"Pecan Plantation, TX",Texas,
Scot Tyler,"Keller, TX",Texas,
Anthony Ervin,"Chesterfield,VA",Virginia,
Koko Yeterian,Hamburg,New Jersey,
Lewis Moore,"Winston-Salem, NC",North†Carolina,
Hank Davis,"Arlington, TX",Texas,
John Claybrook,"Austin, TX",Texas,
Leah1195,"Moreno Valley, CA",California,
Timothy Ray Moore II,"Columbus, IN",Indiana,
TheRealTaeBandz¬©®π¶¬©‚®π¶®',"San Francisco, CA",California,
Jonatan Jarck,Hamburg,New Jersey,
Alper zer,"Mersin, Turkey",North Carolina,
Kevin Shook,"Dallas, TX",Texas,
Moraya pinon,"Dallas, TX",Texas,
Nov 18th,"Atlanta, GA",Georgia,
"KG23L&¬©®π¶¬©‚®π¶¨""San Antonio"," TX""",Texas,
Mark Daiker,"Weatherford, TX",Texas,
Mathew Dz,WA,Washington,
XBJ,"Paterson, NJ",New jersey,
=0¢·jin ¬©®π¶¬©‚®π¢ıu,"Seattle, WA",Washington,
Luke Causby,"Marion, NC",North†Carolina,
_10 Velvet,"Brampton , Ontario ",New York,
Grant McKinney,"Spartanburg, SC",South carolina,
"Bishop-benjamin¬©®π¶¬©‚®π
'¬©®π¶¬©‚®π¶¢,Zebulon"," NC""",North†Carolina,
Aylin,"Chicago, IL",Illinois,
SouljaSlim,"Dallas, TX",Texas,
Raven_tha_rapper,"Fayetteville, NC",North†Carolina,
Philip Kirschner,"Frisco, TX",Texas,
Kameron Ned,"Orlando, FL",Florida,
Richard Abernethy,"Dallas, TX",Texas,
"HOODIE SNIPER ¬©®π¶¬©‚®π¶¨""Brampton"," Ontario""",New York,
Bennett Smith,"Keller, TX",Texas,
Sonia Tenorio,"Lima, Peru",Maine,
Jared Angell,"Dallas, TX",Texas,
Anuj Bajaj,"Dallas, TX",Texas,
TEET AKA TIAH,"Fayetteville, NC",North†Carolina,
Tommy J. Williams II,"Augusta, GA",Georgia,
Omar Chavez,"Dallas, TX",Texas,
Jacob Choi,"Allen, TX",Texas,
Sifredo Rivera,"North Richland Hills, TX",Texas,
"¬©®π¶¬©‚®π¶Õartavis McLamb¬©®π¶¬©‚®π¶¨""Albemarle"," NC""",North†Carolina,
Ea$y,Houston,Pennsylvania,
SHAUN BROWN,"Elizabethtown, NC",North†Carolina,
Erick Montelongo,"Dallas, TX",Texas,
@mayfrmhghts (',"New York, NY",New†York,
Draven Taylor,"San Antonio, TX",Texas,
Zack,"Raleigh, NC",North†Carolina,
–ºPy_N,"Richardson, TX",Texas,
Kort Peters,"Dallas, TX",Texas,
Kevin Rose Jr,"Atlanta, GA",Georgia,
Alysa,"Cary, NC",North†Carolina,
SLaney,TX,Texas,
Sean Harlston,"Compton,CA",California,
"The Black ¬©®π¶¬©‚®π¶¨""Los Angeles"," CA""",California,
Terrence White,"Fayetteville, NC",North†Carolina,
Patrick Sorensen,"Dallas, TX",Texas,
Chris N. Clark,"Tega Cay, SC",South carolina,
"Shakur ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Richmond"," VA""",Virginia,
KayKay,"Arlington, TX",Texas,
William  Crenshaw Jr,"Grand Prairie, TX",Texas,
Ben Stenning,"Burgess Hill, England",Arkansas,
Katie,"Tempe, AZ",Arizona,
NCSU Trader,"Raleigh, NC",North†Carolina,
Justin Shaeffer,"Dallas, TX",Texas,
doo,"Long Island, NY",New†York,
Adam Waller,"Dallas, TX",Texas,
Austin Jackson,"Ardmore, OK",Oklahoma,
Alexa Wood,Madison,New Hampshire,
Freddie Lum,"San Francisco, CA",California,
Jaime,"Weslaco, TX",Texas,
Garrett,"Shawnee, OK",Oklahoma,
Jonathan Herrera,"Grand Prairie, TX",Texas,
Brandy M Ford,"Atlanta, GA",Georgia,
Austin Ashby,"Amarillo, TX",Texas,
Julian Alonso,"Saginaw, TX",Texas,
Harold Horsley,"Dallas, TX",Texas,
Scott,Maryland,New York,
Shaun Richardson,"Fairview, TX",Texas,
Roshan Desai,Earth,Texas,
rampage,"Dallas, TX",Texas,
"JD¬©®π¶¬©‚®π¶¨""Waxahachie"," TX""",Texas,
Samuel Lopez JR,"Weslaco, TX",Texas,
Sam Cauthren,ETSU ,Tennessee,
Ed Karim,"Logan Square, Chicago",Illinois,
No Huddle,"Dallas, TX",Texas,
The Sporting Fool,"Edmond, OK",Oklahoma,
Vaylan,"Dallas, TX",Texas,
"Tayvo¬©®π¶¬©‚®π¶¨""CLT"," NC""",North†Carolina,
G¬©®π¶¬©‚®π¢«3,"Escanaba, MI",Michigan,
We The Sports,"Toronto, Ontario",New York,
Brockman,"Buffalo, NY",New†York,
AD,"Cordova, Memphis",New York,
Ju$,"Brooklyn, NY",New†York,
Jake,"Dallas, TX",Texas,
Grant Stivers,"Sioux Falls, SD",South dakota,
Kyle Moriarty,"Bozeman, MT",Montana,
Devan Goddard,"Raymond, NH",New hampshire,
Jay Atkins,"Lynnwood, WA",Washington,
"g+!""","Midlothian, TX",Texas,
Michael Baran,"Bloomington, IN",Indiana,
Jonathan Pacheco,"Allen, TX",Texas,
James Golden,"Raleigh, NC",North†Carolina,
Carolina Force,"Eastern, NC ",North†Carolina,
Chris Jones,Auburn,Massachusetts,
Tony King,"Green Bay, WI",Wisconsin,
Yanna chapman,"San Antonio, TX",Texas,
Hanna,"New York, NY",New†York,
CJ Figgers ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π r0,"Bryan, TX",Texas,
"¬©®π¶¬©‚®π¶Ãeonard¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Yonkers"," NY""",New†York,
Cruz,"Miami, FL",Florida,
Jayston Menzies Jr,"Los Angeles, CA",California,
Abe,"Buffalo, NY",New†York,
Jon,New York,New York,
a-wop,"Macomb, IL",Illinois,
Christian Bonanno,"Melbourne, Victoria",Virginia,
Tamyia Vargs,"Houston, TX",Texas,
I'm a fucking delicate flower,"Fayetteville, NC",North†Carolina,
k.,"Sacramento, CA",California,
Bon Boolar,"Raleigh, NC",North†Carolina,
Ian B,"Brownsville, TX",Texas,
Jordan Schwab,"Hilliard, OH",Ohio,
Richard Stelwagen,Arlington,Massachusetts,
429 Credit Score,"Fort Worth, TX",Texas,
Matthew ¬©®π¶¬©‚®π¶ÕARKMODE¬©&,"San Antonio, TX",Texas,
Nick,"Denver, CO",Colorado,
Kristen Fazio,Chicago,Illinois,
Israel Cardona,"Farmers Branch, TX",Texas,
Milt,"Raleigh, NC",North†Carolina,
Daniel Rivas,"Dallas, TX",Texas,
Justin Owen,Dallas,Pennsylvania,
Leslie Berry,"Sunnyvale, TX",Texas,
young melo,"Clarksville, TN",Tennessee,
Miguel Calderon,"Fort Worth, TX",Texas,
Abel Regalado,"Dallas, TX",Texas,
Neil Sandlin,"Wylie, TX",Texas,
Oh,Dallas,Pennsylvania,
Kevinbe,"Dallas, TX",Texas,
"Tre&¬©®π¶¬©‚®π¶¨""Indianapolis"," IN""",Indiana,
Jesse Roy,Dallas,Pennsylvania,
Nidia,"Dallas, TX",Texas,
Daniel Sager,Pittsburgh,Pennsylvania,
Jamil,"Newark, DE",Delaware,
Dan Calder,"Austin, TX",Texas,
Roshan Raju,"Dallas, TX",Texas,
"""I'm the flavor guy""","Chicago, IL",Illinois,
Charlie,"Austin, TX",Texas,
Jake Biss,"Latrobe, PA",Pennsylvania,
Daijon Maddox,"Salisbury, MD",Maryland,
Jessica,Dallas,Pennsylvania,
"Rio Lombardi ! ''""","Fayetteville, NC",North†Carolina,
Justin Tirandaz,Plano,Iowa,
John Andrade,"El Paso, TX",Texas,
Griffin Glenn,"Waxahachie, TX",Texas,
Mason,"Irving, TX",Texas,
Adrian O'Connell,"Brooklyn, NY",New†York,
#Seahawks 6-4,"Camas, WA",Washington,
Jason (',"Louisville, KY",Kentucky,
Lil wavy,"Omaha, NE",Nebraska,
Daniel Robertson,"Wills Point, TX",Texas,
Jonathan Jones,"Chicago, IL",Illinois,
Colin McJunkin,"Virginia Beach, VA",Virginia,
"RaeKwon Norwood¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Bangor"," Maine""",New York,
Adrian Albus,"Dorchester, MA",Massachusetts,
Jay,"Bklyn, NY",New†York,
jhw3773,"Dallas, TX",Texas,
Louisville06178,"Louisville, KY",Kentucky,
Marc Johnston,Melbourne,Florida,
Jordan Simeonov,"Waxahachie, TX",Texas,
Phillip Schmitz,"Euless, TX",Texas,
Bryce Tricas,"Deep Chatham, NC",North†Carolina,
James Mulligan,"Melbourne, Victoria",Virginia,
Trevor Kane,"Charlotte, NC",North†Carolina,
Corey Robert Miller,"Toledo, Ohio",Illinois,
Matt Fay,"Mount Prospect, IL",Illinois,
Aaron Cartier,"Brooklyn, NY",New†York,
Ryan Damron,"San Marcos, TX",Texas,
Ryan Stoodley,"Pensacola, FL",Florida,
Ryan Pierce,"Arlington, TX",Texas,
crayy,"Calgary, Alberta",Virginia,
Andrew Lin,"Florence, KY",Kentucky,
Tech Squad Wireless,"Greensboro, NC",North†Carolina,
Joe Tait,"Straiton, Scotland",Connecticut,
"JLENZ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Atlanta"," GA""",Georgia,
Chris Craft,"Lee's Summit, MO",Missouri,
Elliot,"Bandon, Ireland",West Virginia,
Bando Jones,"Fayetteville, NC",North†Carolina,
edward kim !!,"Walnut Creek, CA",California,
jeremiemasia,"Ontario, Canada",Kentucky,
Kenny Williams,"Momence, IL",Illinois,
Justin Zacharko,"McKinney, TX",Texas,
DiegoGonzalezCompte,"Austin, TX",Texas,
Ariel,"Apex, NC",North†Carolina,
"Balenciagas ¬©®π¶¬©‚®π¶¨""Augusta"," GA""",Georgia,
Wat up 5!,Kansas ,Alabama,
(G)NAV,"Nashua, MT",Montana,
Mbg Sosa,"Winston-Salem, NC",North†Carolina,
Ashton,"Jackson, TN",Tennessee,
Cosimo Ricci Jr,"Syracuse, NY",New†York,
Alice Murphy,"Abilene, TX",Texas,
Jane,"Dallas, TX",Texas,
KillrWill,"Flint, MI",Michigan,
Kobe Griffiths,"South East, England",Arkansas,
Ryan Lowe,"Hallam, PA",Pennsylvania,
"Acosta24!""","Fort Worth, TX",Texas,
damariyewilliams,"D'Iberville, MS",Mississippi,
Reginal,"Dallas, TX",Texas,
Athian Woul,"Mesquite, TX",Texas,
Jasmine,"Charlotte, NC",North†Carolina,
Dustin I. Seabolt,"Morgantown, WV",West Virginia,
WWBA,Florida,Puerto Rico,
Dave,"Dallas, TX",Texas,
Quinn Stevenson,"Dallas, TX",Texas,
Oscar,"Laguna Hills, CA",California,
Bryan Wilhelms,"Rockwall,TX",Texas,
Drew Horton,"Plano, TX",Texas,
Jason Orth,"Carrollton, TX",Texas,
Jono,Houston,Pennsylvania,
MaggieSmalls G,"Fort Worth, TX",Texas,
Stephen Corkill,"Fort Worth, TX",Texas,
Austin Rawls,"Dallas, TX",Texas,
Branson McCallister,"Caddo Mills, TX",Texas,
Ab$,"Fort Worth, TX",Texas,
Nacho F.,Madrid ,New York,
ShwaggyyJ,"New York, NY",New†York,
Chinku Vijay Singh,"Plano, TX",Texas,
Sarah Silva,"Houston, TX",Texas,
Peter Bogira,"Chicago, IL",Illinois,
Shaz James Brooks,"Oakland, CA",California,
99DAME BITTIE,"Spartanburg, SC",South carolina,
We Suck,"Arlington, TX",Texas,
Sanaa,"Denver, CO",Colorado,
Grant Hendricks,"Osage Beach, MO",Missouri,
mamasbigboy,"Fayetteville, NC",North†Carolina,
becky bray,"Cary, NC",North†Carolina,
Josh Pierce,"Sacramento, CA",California,
@TheRealTymula,NC,North†Carolina,
Sirmon Brown,"Huntington, WV",West Virginia,
Robby Clifford,"Los Angeles, CA",California,
Kevin Fowlds,"Fort Worth, TX",Texas,
¬©®π¶¬©‚®π Some Wavy Nigga,"Dallas, TX",Texas,
John Locke,"London, England",Arkansas,
"4th Migo, Offseason.","Baton Rouge, LA",California,
Tamar Bates ,Kansas City ,Missouri,
"Next_Up¬©®π¶¬©‚®π¶¨""Crystal Springs"," MS""",Mississippi,
yahzier,"Fayetteville, NC",North†Carolina,
"callmeO¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Miami"," FL""",Florida,
Br0ddha Da Kid,"High Point, NC",North†Carolina,
AK-47,"Spokane, WA",Washington,
Jamal,"Indianapolis, IN",Indiana,
Deon Ekwere,"Houston, TX",Texas,
_dmndanielle,"Los Angeles, CA",California,
Caira,"Columbia, SC | Greensboro, NC",North†Carolina,
James Staton,"Dallas, TX",Texas,
Raphael Terrigino,"Atlantic City, NJ",New jersey,
B.Grace,"YOUNGSTOWN,OH",Ohio,
Simon,"Corpus Christi, TX",Texas,
Zach Rubio,"Frisco, TX",Texas,
Sean Reinhard,"Topeka, KS ",Kansas,
Vincent,"Weedville, NC",North†Carolina,
Jason Myers,"McKinney, TX",Texas,
King Xerces 300,"Angel Grove, CA",California,
Andrew Dunlap,"Conway, AR",Arkansas,
Marcus Pagan,"Norfolk, Virginia",Minnesota,
Drew Marshall,"Richmond, IN",Indiana,
Rich ¬©®π¶¬©‚®πorter,"Hampton, VA",Virginia,
Brannon Stegall,"San Antonio, TX",Texas,
Garrey Adams,"London, KY",Kentucky,
matthew kollowa,Forney,Texas,
"CBGTrell¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Benton Harbor"," MI""",Michigan,
Bill Gluckman,"Fishers, IN",Indiana,
ATyTurner,"Irving, TX",Texas,
bkm,"Springfield, LA",California,
LeAnna Sawyer,"Royse City, TX",Texas,
Michael Smith,"Dallas, TX",Texas,
Antonio Padilla,"Sheboygan, WI",Wisconsin,
Alyzah Suteria,"Dallas, TX",Texas,
CJ,"Durham,NC",North†Carolina,
Rich Homie Khan,"Dallas, TX",Texas,
Bryan Cox,"Chicago, IL",Illinois,
David Bargery,"London, England",Arkansas,
Cosmic,"Baltimore, MD",Maryland,
Kadin Stetzner,"Anaconda, MT",Montana,
Tiffany Nelson,"Fort Worth, TX",Texas,
John Huml,"Tyler, TX",Texas,
150DREAMTEAM,"Staten Island, NY",New†York,
Jason Potts,"Raleigh, NC",North†Carolina,
Manikanta Kumar Segu,"Irving, TX",Texas,
Nick Garrett,"Joshua, TX",Texas,
Cesar Herrera,"San Mateo, CA",California,
Scotty Richards,"West Jordan, UT",Texas,
2,"Merced, CA",California,
Darrell Pattillo,"Flower Mound, TX",Texas,
J'den Santos,"Boston, MA",Massachusetts,
Richard Bean,"Anderson, IN",Indiana,
Steve Kerr,"Phoenix, AZ",Arizona,
Just Plain Joel,New York,New York,
Aria Charsetad,"Irvine, California",Pennsylvania,
Jeremy Russell,"Waco, TX",Texas,
Justin Brown,Earth,Texas,
pryme.time.25,"Dallas, TX",Texas,
Aaron,"Irving, TX",Texas,
Yaheardme,"Bridgeport, CT",Connecticut,
Shawn Honablew,"Arlington, TX ",Texas,
Sergio Galvan,"Dallas, TX",Texas,
coquito,"PR / Jacksonville,FL",Florida,
Mark Fernando,"Chicago, IL",Illinois,
Colin Taylor,"Mesquite, TX",Texas,
Ryan Adams,"Pittsburgh, PA",Pennsylvania,
ROMELLO HAMILTON,"Independence, KS ",Kansas,
"Ballero¬©®π¶¬©‚®π¶¨""Los Angeles"," CA""",California,
"Tooty¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""Dallas"," TX""",Texas,
Aerial Powers,"Arlington, TX",Texas,
Clarence Black,"Metro Detroit, Michigan",North Dakota,
tlawson,North Richland Hills ,Texas,
Heather Campbell,Dallas,Pennsylvania,
Kyle Tons,"Denver, CO",Colorado,
Daughter of Yah¬©®π¶¬©‚®π¶¨Babylon ,New York,,
Brandon Flores,"Mansfield, TX",Texas,
"FADDE!""","Los Angeles, CA",California,
S.Roy,Ottawa ,West Virginia,
Casey Goodman,"Royal Oak, MI",Michigan,
Seth Cross,"Bedford, TX ",Texas,
Caleb Harris(',"Plano, TX",Texas,
Nick Mikula,Dallas,Pennsylvania,
Melody Eppler,"Leicester, NC",North†Carolina,
K. Haynes,DFW,Texas,
Dame D.O.L.L.A 4 MVP,Paris,Maine,
oscar cole,"Dallas, TX",Texas,
Chuck Anderson,"Atlanta, GA",Georgia,
#Kevin,"Raleigh, NC",North†Carolina,
Ernie Rodriguez,"Omaha, NE",Nebraska,
Homeydont Playdat,"Lancaster, CA",California,
Adam Messimer,"Denton, TX",Texas,
U.S.Marine,"Oceanside, CA",California,
"Kaylee ¬©®π¶¬©‚®π¶¨""Los Angeles"," CA""",California,
Lance Uppercut,Sacramento,Pennsylvania,
GivingNoFox,"La Grange, KY",Kentucky,
Chloe Davis,"Red Oak, TX ¬®¢¬artlesville, OK",Oklahoma,
Spencer Mcwhorter,"Miami, FL",Florida,
T. c',"Durant, OK",Oklahoma,
"Haitian BillGates¬©®π¶¬©‚®π¶¨""Orlando"," FL""",Florida,
"Sept 2 7  ¬©®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¬©‚®π¶¨""East Cleveland"," OH""",Ohio,
Ernesto,"Dallas, TX",Texas,
Nick,"Eugene, OR",Oregon,
"Cam ¬©®π¶¬©‚®π¶¨""Cedar Hill"," TX""",Texas,
Jackie Ruiz,"Hope Mills, NC",North†Carolina,
Portra,"Arlington, TX",Texas,
Chris Garcia,"Lubbock, TX",Texas,
"Morales¬©®π¶¬©‚®π¶¨""East Dallas"," Dallas""",Pennsylvania,
InFamous,Stroudsburg,Pennsylvania,
Champagne Chris,"Dallas, TX",Texas,
Van,"InMyFeelings, MA",Massachusetts,
Logan Downing,Dallas,Pennsylvania,
Gannon Brady,"Ocean City, NJ",New jersey,
Aj King,"Fort Wayne, IN",Indiana,
Ham,"Milwaukee, WI",Wisconsin,
